disease,tips,tips2
jaundice,Avoiding hepatitis infection by getting vaccinated. having safe sex. using clean needles and practicing good personal hygiene like thorough hand-washing with soap and water.Staying within recommended alcohol limits.Maintaining a weight that’s healthy for you.Avoiding natural and herbal supplements.Managing your cholesterol.,It’s a sign that something’s not right with your liver.
Migraine,"Resting in a dark, quiet, cool room.Applying a cold or warm compress or washcloth to your forehead or behind your neck.Massaging your scalp.Applying pressure to your temples in a circular motion.Keeping yourself in a calm state (meditating).",Let your healthcare provider know if your symptoms improve or get worse.
Hepatitis B,"Hepatitis B is caused by the hepatitis B virus (HBV), which is typically spread through contact with blood, semen, or other body fluids of an infected person. The most common modes of transmission include sexual contact, sharing needles, or from mother to child during childbirth. It can also be transmitted through sharing personal items such as razors or toothbrushes contaminated with infected blood.","it's essential to see a doctor promptly. Diagnosis typically involves Blood Tests,Liver Imaging"
Dengue,"Your doctor will likely ask about your medical and travel history. Be sure to describe international trips in detail, including the countries you visited and the dates, as well as any contact you may have had with mosquitoes.Your doctor may also draw a sample of blood to be tested in a lab for evidence of infection with one of the dengue viruses.",Severe Dengue is a life-threatening medical emergency
Allergy,"An allergy starts when your immune system mistakes a normally harmless substance for a dangerous invader. The immune system then produces antibodies that remain on the alert for that particular allergen. When you're exposed to the allergen again, these antibodies can release a number of immune system chemicals, such as histamine, that cause allergy symptoms.Common allergy triggers includeAirborne allergens, such as pollen, animal dander, dust mites and mold Certain foods, particularly peanuts, tree nuts, wheat, soy, fish, shellfish, eggs and milk Insect stings, such as from a bee or wasp Medications, particularly penicillin or penicillin-based antibiotics,Latex or other substances you touch, which can cause allergic skin reactions",you can ask pharmasy for treatment 
Diabetes ,"contact your doctor. The earlier the condition is diagnosed, the sooner treatment can begin.If you've already been diagnosed with diabetes. After you receive your diagnosis, you'll need close medical follow-up until your blood sugar levels stabilize.","diabetes is usually diagnosed using the glycated hemoglobin (A1C) test,Random blood sugar test and Fasting blood sugar test."
Malaria,"your doctor will likely review your medical history and recent travel, conduct a physical exam, and order blood tests. Blood tests can indicate The presence of the parasite in the blood, to confirm that you have malaria Which type of malaria parasite is causing your symptoms If your infection is caused by a parasite resistant to certain drugs Whether the disease is causing any serious complications","Malaria is treated with prescription drugs to kill the parasite. The types of drugs and the length of treatment will vary, depending on Which type of malaria parasite you have The severity of your symptoms,Your age,Whether you're pregnant."
Heart attack,Call for emergency medical help.,"You can eliminate many of risk factors to reduce your chances of having a first or another heart attack.Heart attack risk factors include Age. Men age 45 or older and women age 55 or older are more likely to have a heart attack than are younger men and women.Tobacco. This includes smoking and long-term exposure to secondhand smoke.High blood pressure. Over time, high blood pressure can damage arteries that lead to your heart. High blood pressure that occurs with other conditions, such as obesity, high cholesterol or diabetes, increases your risk even more.High blood cholesterol or triglyceride levels. A high level of low-density lipoprotein (LDL) cholesterol (""bad"" cholesterol) is most likely to narrow arteries. A high level of triglycerides, a type of blood fat related to your diet, also increases your risk of a heart attack. However, a high level of high-density lipoprotein (HDL) cholesterol (""good"" cholesterol) may lower your risk.Obesity. Obesity is linked with high blood cholesterol levels, high triglyceride levels, high blood pressure and diabetes. Losing just 10% of your body weight can lower this risk.Diabetes. Not producing enough of a hormone secreted by your pancreas (insulin) or not responding to insulin properly causes your body's blood sugar levels to rise, increasing your risk of a heart attack.Metabolic syndrome. This syndrome occurs when you have obesity, high blood pressure and high blood sugar. Having metabolic syndrome makes you twice as likely to develop heart disease than if you don't have it.Family history of heart attacks. If your siblings, parents or grandparents have had early heart attacks (by age 55 for males and by age 65 for females), you might be at increased risk.Lack of physical activity. Being inactive contributes to high blood cholesterol levels and obesity. People who exercise regularly have better heart health, including lower blood pressure.Stress. You might respond to stress in ways that can increase your risk of a heart attack.Illicit drug use. Using stimulant drugs, such as cocaine or amphetamines, can trigger a spasm of your coronary arteries that can cause a heart attack.A history of preeclampsia. This condition causes high blood pressure during pregnancy and increases the lifetime risk of heart disease.An autoimmune condition. Having a condition such as rheumatoid arthritis or lupus can increase your risk of a heart attack."
Hepatitis A,"Hepatitis A can cause when Eating food handled by someone with the virus who doesn't thoroughly wash his or her hands after using the toilet Drinking contaminated water Eating raw shellfish from water polluted with sewage Being in close contact with a person who's infected even if that person has no signs or symptoms, Having sex with someone who has the virus.","Blood tests are used to look for signs of the hepatitis A virus in your body. A sample of blood is taken, usually from a vein in your arm. It's sent to a laboratory for testing.No specific treatment exists for hepatitis A. Your body will clear the hepatitis A virus on its own. In most cases of hepatitis A, the liver heals within six months with no lasting damage.Hepatitis A treatment usually focuses on keeping comfortable and controlling signs and symptoms. You may need to Rest. Many people with hepatitis A infection feel tired and sick and have less energy.Manage nausea. Nausea can make it difficult to eat. Try snacking throughout the day rather than eating full meals. To get enough calories, eat more high-calorie foods. For instance, drink fruit juice or milk rather than water. Drinking plenty of fluids is important to prevent dehydration if vomiting occurs.Avoid alcohol and use medications with care. Your liver may have difficulty processing medications and alcohol. If you have hepatitis, don't drink alcohol. It can cause more liver damage. Talk to your doctor about all the medications you take, including over-the-counter drugs.consult your doctor."
Common Cold,"For adults generally, you don't need medical attention for a common cold. However, seek medical attention if you have Symptoms that worsen or fail to improve Fever greater than 101.3 F (38.5 C) lasting more than three days,Shortness of breath,For children in general, your child doesn't need to see his or her doctor for a common cold. But seek medical attention right away if your child has Fever of 100.4 F (38 C) in newborns up to 12 weeks Rising fever or fever lasting more than two days in a child of any age",you can ask pharmasy for treatment 
Chicken pox,consult your doctor. He usually can diagnose chickenpox by examining the rash and considering other symptoms. Your doctor can also prescribe medications to lessen the severity of chickenpox and treat complications.,"Chickenpox is generally a mild illness in children but can be serious in certain populations. Vaccination is highly effective in preventing the disease and its complications. If infected, supportive care and symptom management are key, along with measures to prevent the spread to others."
